feature,pct_change,special_new_value
schoolnum,104.0126845922464,
servicesnum,34.75209656420071,
theatres,,6.798558705554423e-05
museums,66.13204699572755,
shoparea,0.0,
hospitals,76.09112378316894,
docsnum,65.35960463303613,
pollutionvol,0.0,
foodseats,0.0,
sportsvenue,47.68607531657346,
socialaidhomeservices,,6.798558705554423e-05
zoos,,6.798558705554423e-05
circuses,,6.798558705554423e-05
library,741.7856402271855,
badcompanies,-40.74614834824505,
cliniccap,63.52983085214372,
foodservturnover,0.0,
cultureorg,509.97374624197994,
avgsalary,0.0,
beforeschool,0.0,
musartschool,0.0,
cinemas,,6.798558705554423e-05
parks,,6.798558705554423e-05
sportschool,142.80531097586814,
munipoliceworkers,,
