feature,pct_change,special_new_value
avgsaldiff,84.05628883814626,
foodservturnover,80.08562510108035,
circuses,,7.327796775769418e-05
zoos,,7.327796775769418e-05
livestock,3476.738601733017,
roadslen,75.6288381992974,
hospitals,36.783310664364585,
docsnum,0.0,
munipoliceworkers,,7.327796775769418e-05
avgsalary,0.0,
badcompanies,0.0,
schoolnum,32.070049307253825,
agrprod,298.0844771301842,
servicesnum,44.68655924621497,
sportschool,388.5008561278179,
pollutionvol,0.0,
musartschool,304.7696658469271,
cinemas,87.09502728566724,
beforeschool,0.0,
