feature,pct_change,special_new_value
theatres,,2.645549304220533e-05
cultureorg,94.67429336247993,
schoolnum,91.11537738600263,
musartschool,0.0,
sportschool,0.0,
agrprod,0.0,
library,82.69989649306595,
roadslen,51.52914785070284,
docsnum,41.24250168469264,
avgsaldiff,0.0,
naturesecure,39.221796069344,
zoos,,2.645549304220533e-05
cinemas,0.0,
circuses,,2.645549304220533e-05
foodservturnover,171.02339426055974,
beforeschool,36.168749139129034,
livestock,166.69120336437598,
avgsalary,0.0,
hospitals,46.95278585863062,
