feature,pct_change,special_new_value
pollutionvol,0.0,
cinemas,,9.08127743302558e-05
beforeschool,35.23597710921996,
badcompanies,0.0,
foodservturnover,371.5696336551248,
agrprod,736.2164305465155,
hospitals,248.24226440498586,
sportschool,0.0,
musartschool,72.37281556727113,
livestock,8705.66175673457,
servicesnum,0.0,
circuses,,9.08127743302558e-05
roadslen,30.068748579810233,
munipoliceworkers,31.72000702692272,
docsnum,66.86260300228908,
zoos,,9.08127743302558e-05
avgsalary,0.0,
library,393.84658592726345,
schoolnum,88.11306007472255,
badhousesdwellers,-60.603105199261265,
